Id Number, Age, State, Number of traps, 2018 Revenue,2019 Revenue
71273,62,1,600,140758,98882
9984,33,1,800,143000,116109
8557,27,1,500,95000,75865
7966,47,1,800,348000,112690
7298,61,1,900,415000,313285
67371,32,1,100,106000,71739
1,59,1,850,146000,0
5357,30,1,800,0,216462
5525,32,1,,0,291090
6182,34,1,800,0,272030
8253,58,1,800,0,86915
1073,19,1,840,112000,88879
2376,52,1,800,320000,211397
5311,26,1,950,420000,326692
6261,40,1,800,155000,141041
70621,41,1,900,300000,236210
2544,49,1,850,0,94398
9087,34,1,758,252000,184411
9851,21,1,700,91000,54758
73379,48,1,800,50000,137787
5326,52,1,760,160000,103320
8334,19,1,500,30000,2174
2677,37,2,880,0,0
7064,20,1,500,0,46381
7791,67,1,500,52000,50812
8732,62,1,150,8000,0
98190,59,1,400,23744,18041
7650,49,1,175,9000,15542
9336,65,1,800,0,148900
70461,63,1,360,10295,0
5279,46,1,800,89000,65579
5562,49,1,600,70000,0
5962,40,1,750,48000,45245
7970,60,1,600,85000,65352
9218,46,1,800,125000,78276
4419,27,1,800,0,141557
73233,47,1,600,121000,100120
6896,44,1,900,466690,357899
72485,39,1,800,280000,226804
70993,59,1,900,167000,130099
6153,58,1,1000,420000,301187
3007,35,1,800,100000,62436
6744,56,1,800,230227,178738
8883,46,1,798,105000,0
3873,30,1,550,26000,60966
8049,51,1,803,131490,96980
8411,25,1,850,300000,223629
215,56,1,800,0,95863
4053,59,1,880,262000,194381
5984,39,1,880,401000,303906
7133,41,1,800,310000,124882
4544,36,1,900,240000,130013
71149,53,1,850,335000,249481
1759,67,1,720,0,151427
7895,53,1,800,280000,243023
1516,47,1,800,213000,129419
8019,55,1,800,75000,0
7305,61,1,400,51000,26249
4703,48,1,300,25674,16164
526,50,1,800,70000,57029
11318,40,1,800,320000,0
2816,32,1,200,12000,6284
11925,63,1,600,57004,57256
70736,56,1,800,234000,189431
7856,48,1,720,155000,111669
5574,33,1,450,111975,86598
8094,27,1,800,240000,195226
673,43,1,800,154000,117370
1785,46,1,900,463000,30741
1991,43,1,640,32000,56604
3706,60,1,860,126000,94249
3999,26,1,800,675000,403237
4585,31,1,800,150000,248312
5610,37,1,800,0,0
5907,24,1,800,0,205726
6040,52,1,800,300000,0
6285,65,1,850,454000,327968
6483,30,1,800,286000,304649
7007,38,1,1000,0,292130
9219,56,1,600,0,0
14035,59,1,825,405000,298086
729,41,1,475,185000,114506
1027,40,1,800,144000,170088
1161,30,1,900,0,308943
2521,27,1,800,28000,80169
2626,63,1,1000,0,180122
3042,50,1,600,147000,110569
3348,21,1,700,200000,124262
6030,68,1,800,40000,46501
7176,51,1,800,200000,144419
7570,34,1,800,96000,87742
7599,62,1,800,34500,24707
8469,24,1,675,103000,82424
8795,54,1,840,0,0
9140,65,1,800,24000,63748
9487,50,1,800,0,213383
9707,36,1,850,0,266746
10561,20,1,350,20000,0
99479,42,1,600,125000,0
644,31,1,720,0,0
1446,41,1,700,0,57674
5176,41,1,800,265000,193882
5707,41,1,500,0,0
5747,20,1,500,28000,10985
6586,59,1,800,30000,103935
6622,18,1,300,3000,17252
7248,25,1,800,166000,123187
8074,44,1,400,40000,0
9859,43,1,800,40000,130105
10531,24,1,700,160000,121785
14860,26,1,700,0,118999
70241,44,1,800,250000,190173
2,75,1,800,0,0
687,56,1,800,50000,191859
3317,75,1,250,0,3886
6054,45,1,300,0,13306
7854,28,1,800,30000,91692
56631,71,1,100,0,1825
67151,,1,600,200000,100742
70977,75,1,450,11000,0
665,59,1,300,0,11121
1983,45,1,600,45000,50188
2411,90,1,50,4000,1801
2646,40,1,600,27000,28854
2939,43,1,850,11500,30275
3089,56,1,501,50000,55210
3417,38,1,500,27000,12416
3824,43,1,800,29900,17322
5756,18,1,100,4600,11
6606,18,1,400,10000,6303
8403,67,1,195,11500,0
8714,54,1,1000,22000,61868
8876,47,1,400,8000,0
9455,54,1,800,0,96033
9740,26,1,350,0,0
13008,83,1,140,16000,7431
18846,63,1,125,1600,7053
99264,39,1,700,80000,53353
3,45,1,800,0,0
6275,34,1,825,247000,180777
2130,39,1,900,589533,0
7915,49,1,650,121000,70564
4232,64,1,105,6524,0
6056,62,1,250,9500,0
5586,70,1,100,0,0
11760,18,1,90,4900,2445
8633,41,1,450,29500,9130
1409,24,1,170,8300,5705
9583,19,1,400,9500,6925
1961,69,1,250,0,13303
5329,26,1,400,92000,67046
1229,34,3,150,1000,0
6278,29,1,400,1300,0
299,66,3,580,15000,0
5863,53,2,600,29640,0
8894,26,1,600,51000,34174
1088,51,3,500,43061,0
11456,21,1,250,26000,12330
5888,34,2,800,58000,0
9610,55,1,350,0,11337
8039,64,1,300,40000,5121
7492,46,1,800,0,0
4,59,1,750,64000,0
4832,37,1,600,149000,0
98714,48,1,820,225000,0
5966,39,1,800,102000,108201
6940,68,1,620,67513,0
5754,47,1,800,135000,126451
2898,73,1,300,32000,16923
2043,40,1,800,309880,220442
5400,29,1,600,100000,63174
2995,47,1,600,163000,139724
11332,36,1,900,345000,0
3543,60,1,900,50000,0
70268,51,1,600,297250,0
5892,44,1,600,0,113102
8540,61,1,800,126000,0
72497,54,1,870,100000,74080
10012,38,1,1100,148500,122877
8918,53,1,1200,158000,0
70142,61,1,600,115400,0
12417,64,1,700,260000,0
1909,30,2,950,30000,0
2616,38,1,600,140000,107554
